step,loss,pred_loss,var_loss
0,1.8501,0.0637,1.7864
200,0.1952,0.1952,0.0
400,0.1798,0.1798,0.0
600,0.1364,0.1364,0.0
800,0.1295,0.1295,0.0
1000,0.1106,0.1106,0.0
1200,0.1165,0.1165,0.0
1400,0.1153,0.1153,0.0
1600,0.1096,0.1096,0.0
1800,0.102,0.102,0.0
2000,0.097,0.097,0.0
2200,0.0853,0.0853,0.0
2400,0.0906,0.0906,0.0
2600,0.0803,0.0803,0.0
2800,0.0808,0.0808,0.0
3000,0.0722,0.0722,0.0
3200,0.0964,0.0964,0.0
3400,0.0763,0.0763,0.0
3600,0.0826,0.0826,0.0
3800,0.0744,0.0744,0.0
4000,0.0747,0.0747,0.0
4200,0.0805,0.0805,0.0
4400,0.085,0.085,0.0
4600,0.0645,0.0645,0.0
4800,0.0772,0.0772,0.0
5000,0.0639,0.0639,0.0
5200,0.0887,0.0887,0.0
5400,0.0874,0.0874,0.0
5600,0.0734,0.0734,0.0
5800,0.0745,0.0745,0.0
6000,0.0726,0.0726,0.0
